Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
51.5714513,14.3804302,90.3,820.0
48.6503574,7.7003567,90.3,8200.0
49.6852267,11.2471772,90.3,82.0
48.0514973,10.8737728,90.3,82.0
49.7451275,9.2988924,90.3,16.4
54.9059163,8.3130412,90.3,328.0
47.8541669,12.3455493,90.3,32.8
51.1929899,12.2861919,90.4,164000.0
47.9358425,8.8267371,90.4,65600.0
49.7861037,7.4584035,90.4,16.4
49.5819105,10.6077372,90.4,328.0
51.9027561,10.1721251,90.4,328.0
50.2534129,10.9853872,90.4,328.0
53.2039515,8.2453397,90.4,820.0
52.4101109,10.7735234,90.4,164.0
51.9503235,14.7153567,90.4,492.0
48.6047533,8.6601529,90.4,16.4
48.9457346,11.4361469,90.5,41000.0
53.486634,13.60925,90.5,164000.0
50.2312823,7.5885884,90.5,164.0
48.6185918,8.0839286,90.5,3280.0
52.4976362,12.0257528,90.5,1640.0
50.1985698,10.0746833,90.5,164.0
51.3756186,10.138224,90.5,164.0
48.68466725,10.1668788379723,90.5,164.0
51.35,6.61667,90.5,164.0
52.2304192,10.475462543086,90.5,164.0
50.3877146,8.04693774218146,90.7,328.0
53.5218143,8.64920230605346,90.7,328.0
51.3666041,10.8668419,90.7,328.0
51.2737192,8.0493641,90.8,41000.0
48.7557588,9.1901672,90.8,8200.0
50.078372,9.10975,90.8,328.0
51.8344172,10.7862526,90.8,1640.0
50.5917247,12.6985894,90.8,1640.0
51.5380394,7.219985,90.8,164.0
48.2769011,8.0871643,90.8,164.0
49.1887934,12.5224323,90.8,524.8
51.0676201,9.9354246,90.8,82.0
51.3666444,7.610424,90.8,52480.0
50.9494849,10.7014435,90.8,103320.0
52.7873874,13.3834451756387,90.8,2132.0
51.5123672,10.2610699,90.8,492.0
49.844711,7.85472807364812,90.9,82.0
52.3212183,9.7454815,90.9,24600.0
48.7644535,8.2805337,90.9,1312.0
54.8721377,8.4337685,90.9,8200.0
50.7361377,12.3763847,90.9,524.8
50.9747134,10.3193565,90.9,328.0
52.7508589,12.3410614,90.9,1312.0
48.35941895,10.8858310920168,90.9,164.0
51.2383379,12.7287511,90.9,410.0
-37.7382431,145.0433922,90.9,164.0
50.9471813,8.5329862,91.0,164000.0
50.8006617,12.9572792,91.0,4920.0
54.1149634,12.1481031,91.0,164000.0
49.2027254,7.9682264,91.0,49.2
52.147275,7.3295686,91.0,328.0
51.3829641,10.4131852,91.0,328.0
54.7919856,9.4769237,91.0,984.0
51.7241176,11.1385722,91.0,164.0
47.6766357,12.4703473,91.0,164.0
53.7834392,7.93421060740297,91.0,131.2
49.68239005,9.03407290222418,91.0,328.0
49.1052677,6.4793632,91.1,524.8
48.8362705,10.0931765,91.1,82000.0
53.0495213,8.4497212,91.1,164000.0
53.2110052,14.2085984,91.1,32800.0
49.53208295,8.14498152315022,91.1,164.0
48.0319145,8.4713168,91.1,1640.0
52.0350576,11.6616226,91.1,3280.0
51.3424772,9.8578217,91.1,524.8
48.0167693,7.8022723,91.1,820.0
48.9900921,12.0666402,91.1,492.0
51.5581272,13.0046538,91.1,328.0
50.9166767,12.047522,91.1,1640.0
50.1483669,9.6509683,91.1,16.4
49.8914619,8.6135779,91.1,410.0
51.0435315,13.6377166,91.1,1640.0
42.1011456,1.8454758,91.1,787.2
51.9863077,9.8247473,91.1,82.0
51.7703723,8.7137798,91.2,164.0
47.7569807,9.7120269,91.2,41000.0
53.0833678,11.0732294,91.2,41000.0
47.023994,12.8352658,91.2,32800.0
50.7934416,7.20694166420455,91.2,328.0
51.0227878,11.5129742,91.2,1640.0
51.49662485,7.47658955855034,91.2,328.0
50.100086,8.6845174,91.2,164.0
49.7016019,8.6132493,91.2,98.4
51.6272545,9.2928461,91.2,82.0
52.11102,8.1615281,91.2,164.0
49.7410617,9.383644,91.2,16.4
49.123579,8.574394,91.2,164.0
50.5788781,13.0106108,91.2,328.0
51.3145906,7.7230609,91.3,82000.0
54.3326908,10.0678745,91.3,24600.0
50.6504841,7.9523942,91.3,328.0
48.2242434,11.6715263,91.3,41000.0
51.3060106,12.4614203,91.3,6560.0
49.1686211,9.2014749,91.3,164.0
53.5942039,7.2067435,91.3,410.0
48.6615456,9.4569029,91.3,164.0
51.9092199,8.7382015,91.3,82.0
50.8582666,11.7263639,91.3,328.0
51.4957085,13.7605753,91.3,1640.0
48.9700842,13.1262631,91.3,16.4
50.0083449,8.2844378,91.4,1640.0
52.52082275,13.409420934251,91.4,164000.0
48.9024242,8.7167771,91.4,820.0
50.9520997,6.64690684212472,91.4,164.0
50.65079395,12.4271528217271,91.4,1640.0
53.3978521,9.8600688,91.4,492.0
47.4429543,11.2655684,91.4,82.0
51.0565934,13.2980726,91.4,328.0
51.7991251,10.6156365,91.5,164000.0
49.4833173,8.484585,91.5,6560.0
47.8414754,12.6554368,91.5,8200.0
51.2990263,7.6734841,91.5,164.0
51.4007175,7.1862486,91.5,164.0
53.20509275,7.45946396249222,91.5,820.0
50.4118935,12.1568975,91.5,164.0
48.3825958,9.8984907,91.5,1640.0
54.18004525,7.8853621011807,91.5,82.0
